Trigram,Frequency
"('fever', 'shortness', 'breath')",29
"('5', '1', '2')",29
"('delaware', 'crossing', 'west')",29
"('eat', 'drink', 'unless')",29
"('100', 'delaware', 'crossing')",29
"('verify', 'address', 'one')",29
"('feeling', 'pain', 'anywhere')",29
"('back', 'okay', 'thank')",29
"('well', 'see', 'next')",29
"('anything', 'changes', 'gets')",28
"('changes', 'gets', 'worse')",28
"('4', '5', '1')",28
"('eat', 'drink', 'anything')",27
"('dont', 'know', 'okay')",27
"('breath', 'hard', 'breathe')",27
"('thank', 'much', 'youre')",27
"('go', 'ahead', 'call')",27
"('much', 'youre', 'welcome')",27
"('give', 'anything', 'eat')",26
"('medical', 'surgical', 'history')",26
"('get', 'medics', 'started')",26
"('okay', 'alright', 'well')",25
"('whats', 'telephone', 'number')",25
"('partners', 'gon', 'na')",25
"('want', 'make', 'sure')",25
"('gon', 'na', 'get')",24
"('okay', 'covid', 'symptoms')",24
"('address', 'emergency', '100')",24
"('got', 'medics', 'dispatched')",24
"('dont', 'know', 'whats')",24
"('right', 'thank', 'thank')",24
"('difficult', 'time', 'swallowing')",24
"('know', 'dont', 'know')",24
"('address', 'emergency', 'hello')",23
"('address', 'emergency', '911')",23
"('okay', 'anything', 'changes')",23
"('ask', 'couple', 'questions')",23
"('im', 'sorry', 'im')",23
"('address', 'emergency', 'yes')",23
"('get', 'medic', 'started')",23
"('respond', 'follow', 'simple')",23
"('okay', 'go', 'ahead')",22
"('okay', 'whats', 'address')",22
"('100', 'willowbrook', 'way')",22
"('follow', 'simple', 'commands')",22
"('medic', 'started', 'way')",22
"('dont', 'know', 'dont')",22
"('address', 'emergency', 'im')",22
"('okay', 'short', 'breath')",22
"('okay', 'difficulty', 'breathing')",22
"('thank', 'thank', 'bye')",22
"('whats', 'good', 'phone')",22
"('get', 'anything', 'changes')",21
"('well', 'like', 'said')",21
"('dont', 'give', 'anything')",21
"('like', 'said', 'medics')",21
"('ahead', 'call', 'us')",21
"('changes', 'give', 'call')",21
"('phone', 'number', '740')",21
"('well', 'weve', 'got')",21
"('okay', 'conscious', 'breathing')",21
"('thank', 'bye', 'bye')",21
"('name', 'phone', 'number')",21
"('dont', 'know', 'im')",21
"('whats', 'name', 'maam')",20
"('hold', 'one', 'second')",20
"('bye', 'bye', 'bye')",20
"('whatever', 'position', 'comfortable')",20
"('hard', 'time', 'breathing')",20
"('signs', 'symptoms', 'covid')",20
"('clean', 'dry', 'cloth')",20
"('right', 'thank', 'bye')",20
"('im', 'trying', 'get')",20
"('im', 'going', 'get')",20
"('need', 'help', 'getting')",20
"('yes', 'okay', 'right')",20
"('short', 'breath', 'hard')",20
"('phone', 'number', 'call')",20
"('okay', 'dont', 'know')",20
"('ill', 'go', 'ahead')",20
"('okay', 'trouble', 'breathing')",20
"('okay', 'like', 'said')",20
"('changes', 'call', 'back')",19
"('partner', 'going', 'start')",19
"('try', 'keep', 'calm')",19
"('yeah', 'yeah', 'yeah')",19
"('cough', 'fever', 'shortness')",19
"('us', 'back', 'okay')",19
"('back', 'anything', 'changes')",19
"('going', 'ask', 'couple')",19
"('got', 'medics', 'way')",19
"('ill', 'let', 'go')",19
"('let', 'medics', 'know')",19
"('drooling', 'difficult', 'time')",19
"('questions', 'okay', 'okay')",19
"('know', 'whats', 'going')",19
"('okay', 'thank', 'byebye')",19
"('whats', 'location', 'emergency')",18
"('let', 'go', 'okay')",18
"('whats', 'last', 'name')",18
"('way', 'go', 'ahead')",18
"('hes', 'short', 'breath')",18
"('ahead', 'start', 'medic')",18
"('verify', 'phone', 'number')",18
"('like', 'said', 'weve')",18
"('911', 'whats', 'location')",18
"('okay', 'weve', 'got')",18
"('breath', 'hurt', 'breathe')",18
"('okay', 'alright', 'thank')",18
"('difficulty', 'breathing', 'okay')",18
"('weve', 'got', 'dispatched')",18
"('get', 'give', 'call')",18
"('get', 'worse', 'something')",18
"('said', 'weve', 'got')",17
"('changes', 'call', 'us')",17
"('okay', 'partner', 'going')",17
"('whats', 'going', 'today')",17
"('whats', 'first', 'name')",17
"('drive', 'delaware', 'ohio')",17
"('gather', 'medications', 'list')",17
"('less', '10', 'feet')",17
"('going', 'start', 'medic')",17
"('pain', 'illness', 'prior')",17
"('conscious', 'right', 'yes')",17
"('short', 'breath', 'hurt')",17
"('address', 'emergency', 'uh')",17
"('partner', 'go', 'ahead')",17
"('call', 'right', 'back')",17
"('rest', 'whatever', 'position')",17
"('medical', 'alert', 'tag')",17
"('come', 'front', 'door')",17
"('address', 'emergency', 'yeah')",17
"('theyre', 'en', 'route')",17
"('changes', 'get', 'call')",17
"('okay', 'okay', 'alright')",17
"('right', 'back', 'okay')",16
"('dont', 'know', 'shes')",16
"('partners', 'got', 'medics')",16
"('delaware', 'ohio', 'okay')",16
"('cant', 'get', 'okay')",16
"('short', 'breath', 'okay')",16
"('ahead', 'get', 'medics')",16
"('okay', 'im', 'sorry')",16
"('call', 'back', 'theyre')",16
"('watch', 'phone', 'number')",16
"('okay', 'partners', 'gon')",16
"('try', 'rest', 'comfortable')",16
"('right', 'well', 'medics')",16
"('okay', 'give', 'one')",16
"('whats', 'going', 'okay')",16
"('immediately', 'okay', 'okay')",16
"('medics', 'way', 'im')",16
"('yes', 'okay', 'whats')",16
"('beep', 'beep', '911')",16
"('number', 'phone', 'number')",16
"('get', 'name', 'phone')",16
"('door', 'unlocked', 'yes')",15
"('okay', 'thank', 'okay')",15
"('gets', 'worse', 'way')",15
"('responding', 'appropriately', 'yeah')",15
"('go', 'front', 'door')",15
"('dont', 'know', 'hes')",15
"('im', 'going', 'keep')",15
"('thank', 'right', 'thank')",15
"('weve', 'got', 'help')",15
"('way', 'im', 'going')",15
"('coffee', 'shortness', 'breath')",15
"('youre', 'welcome', 'byebye')",15
"('partners', 'going', 'start')",15
"('medics', 'en', 'route')",15
"('changes', 'go', 'ahead')",15
"('anything', 'changes', 'go')",15
"('breathing', 'due', 'covid')",15
"('difficulty', 'breathing', 'due')",15
"('would', 'get', 'worse')",15
"('okay', 'thank', 'bye')",14
"('gon', 'na', 'go')",14
"('ahead', 'get', 'medic')",14
"('oh', 'god', 'oh')",14
"('simple', 'commands', 'yes')",14
"('emergency', '100', 'willowbrook')",14
"('thank', 'much', 'thank')",14
"('god', 'oh', 'god')",14
"('make', 'sure', 'hes')",14
"('got', 'couple', 'questions')",14
"('back', 'okay', 'right')",14
"('partners', 'going', 'go')",14
"('medic', 'im', 'going')",14
"('alright', 'whats', 'going')",14
"('able', 'speak', 'full')",14
"('get', 'phone', 'number')",14
"('high', 'blood', 'pressure')",14
"('going', 'start', 'medics')",14
"('yes', 'yes', 'okay')",14
"('worse', 'something', 'changes')",14
"('get', 'call', 'back')",14
"('whats', 'going', 'well')",14
"('phone', 'number', 'phone')",14
"('get', 'want', 'call')",14
"('want', 'call', 'back')",14
"('whats', 'going', 'husband')",14
"('alright', 'like', 'said')",14
"('lose', 'consciousness', 'fell')",14
"('one', 'second', 'okay')",14
"('yes', 'yes', 'yes')",14
"('thank', 'okay', 'thank')",14
"('orders', 'quarantine', 'okay')",14
"('covid', 'symptoms', 'okay')",13
"('rest', 'position', 'comfort')",13
"('hes', 'gon', 'na')",13
"('theyre', 'way', 'okay')",13
"('way', 'okay', 'thank')",13
"('sorry', 'im', 'sorry')",13
"('couple', 'questions', 'ask')",13
"('take', 'deep', 'breath')",13
"('know', 'much', 'weighs')",13
"('home', 'covid', 'symptoms')",13
"('ask', 'questions', 'okay')",13
"('yeah', 'yeah', 'okay')",13
"('gon', 'na', 'start')",13
"('shes', 'short', 'breath')",13
"('emergency', '911', 'address')",13
"('ill', 'let', 'know')",13
"('chelsea', 'street', 'apartment')",13
"('79', 'rock', 'creek')",13
"('changes', 'get', 'want')",13
"('getting', 'medics', 'started')",13
"('oh', 'god', 'okay')",13
"('can', 'not', 'get')",13
"('okay', 'partners', 'got')",13
"('number', 'called', 'case')",13
"('get', 'sheriffs', 'office')",13
"('breathing', 'okay', 'yeah')",12
"('anything', 'changes', 'worse')",12
"('okay', 'apartment', 'number')",12
"('try', 'keep', 'comfortable')",12
"('go', 'ahead', 'dispatch')",12
"('okay', 'well', 'weve')",12
"('okay', 'thank', 'right')",12
"('short', 'breath', 'hes')",12
"('okay', 'name', 'name')",12
"('changes', 'worsens', 'go')",12
"('worsens', 'go', 'ahead')",12
"('get', 'go', 'ahead')",12
"('ask', 'questions', 'theyre')",12
"('well', 'let', 'know')",12
"('go', 'ahead', 'keep')",12
"('injured', 'need', 'help')",12
"('got', 'medics', 'started')",12
"('changes', 'worsens', 'call')",12
"('route', 'okay', 'okay')",12
"('okay', 'okay', 'im')",12
"('make', 'sure', 'shes')",12
"('okay', 'partners', 'going')",12
"('responding', 'appropriately', 'yes')",12
"('okay', 'feeling', 'pain')",12
"('okay', 'let', 'know')",12
"('north', 'union', 'street')",12
"('okay', 'thats', 'fine')",12
"('yeah', 'okay', 'right')",12
"('know', 'caused', 'fall')",12
"('able', 'respond', 'follow')",12
"('yes', 'okay', 'old')",11
"('worsens', 'call', 'us')",11
"('youre', 'calling', 'case')",11
"('medics', 'get', 'anything')",11
"('make', 'sure', 'youre')",11
"('illness', 'prior', 'fall')",11
"('ohio', 'okay', 'whats')",11
"('drink', 'unless', 'shes')",11
"('emergency', '100', 'delaware')",11
"('ok', 'okay', 'thank')",11
"('okay', 'history', 'travel')",11
"('said', 'medics', 'way')",11
"('call', 'back', 'anything')",11
"('yes', 'phone', 'number')",11
"('officers', 'headed', 'way')",11
"('whats', 'going', 'tonight')",11
"('okay', 'history', 'fever')",11
"('start', 'medic', 'im')",11
"('got', 'medic', 'started')",11
"('getting', 'medic', 'started')",11
"('address', 'emergency', 'address')",11
"('worse', 'go', 'ahead')",11
"('im', 'sorry', 'whats')",11
"('weve', 'got', 'way')",11
"('partner', 'going', 'go')",11
"('comfortable', 'position', 'okay')",11
"('okay', 'okay', 'old')",11
"('alright', 'whats', 'name')",11
"('medics', 'im', 'going')",11
"('trouble', 'breathing', 'right')",11
"('couple', 'days', 'ago')",11
"('start', 'medics', 'im')",11
"('im', 'sorry', 'okay')",11
"('street', 'delaware', 'ohio')",11
"('gon', 'na', 'ask')",11
"('check', 'make', 'sure')",11
"('26', 'north', 'union')",11
"('ok', 'whats', 'going')",11
"('right', 'im', 'going')",11
"('okay', 'ill', 'go')",11
"('okay', 'get', 'name')",11
"('minutes', 'ago', 'okay')",10
"('okay', 'partner', 'go')",10
"('theyre', 'gon', 'na')",10
"('state', 'country', 'history')",10
"('okay', 'verify', 'phone')",10
"('way', 'im', 'phone')",10
"('know', 'okay', 'okay')",10
"('en', 'route', 'okay')",10
"('thank', 'thank', 'okay')",10
"('anything', 'like', 'okay')",10
"('berlin', 'station', 'road')",10
"('traveled', 'outside', 'state')",10
"('call', 'back', 'ok')",10
"('okay', 'anybody', 'home')",10
"('one', 'second', 'im')",10
"('dont', 'want', 'move')",10
"('little', 'bit', 'okay')",10
"('hes', 'trouble', 'breathing')",10
"('oh', 'oh', 'oh')",10
"('thank', 'okay', 'bye')",10
"('going', 'keep', 'phone')",10
"('willowbrook', 'way', 'south')",10
"('road', 'okay', 'whats')",10
"('ok', 'whats', 'name')",10
"('sick', 'covid', 'symptoms')",10
"('eat', 'drink', 'right')",10
"('looks', 'like', 'hes')",10
"('dont', 'know', 'know')",10
"('door', 'unlocked', 'medics')",10
"('okay', 'know', 'said')",10
"('cant', 'even', 'get')",10
"('front', 'door', 'okay')",10
"('conscious', 'breathing', 'yes')",10
"('conscious', 'able', 'talk')",10
"('something', 'changes', 'get')",10
"('tell', 'whats', 'going')",10
"('road', 'delaware', 'ohio')",10
"('need', 'lift', 'assist')",10
"('alright', 'weve', 'got')",10
"('right', 'covid', 'symptoms')",10
"('yes', 'maam', 'okay')",10
"('nurse', 'yes', 'okay')",10
"('well', 'go', 'ahead')",10
"('delaware', 'county', '911')",10
"('okay', 'door', 'unlocked')",10
"('hes', 'going', 'go')",9
"('difficulty', 'breathing', 'right')",9
"('right', 'whats', 'name')",9
"('yeah', 'okay', 'old')",9
"('doesnt', 'feel', 'like')",9
"('street', 'apartment', 'b')",9
"('phone', 'number', '614')",9
"('na', 'go', 'ahead')",9
"('north', 'walnut', 'street')",9
"('right', 'give', 'one')",9
"('name', 'maam', 'name')",9
"('quarantined', 'doctor', 'covid')",9
"('right', 'thank', 'byebye')",9
"('state', 'country', 'okay')",9
"('okay', 'lose', 'consciousness')",9
"('erratic', 'behavior', 'okay')",9
"('im', 'sorry', 'said')",9
"('okay', 'partner', 'getting')",9
"('dont', 'know', 'think')",9
"('called', 'case', 'disconnected')",9
"('back', 'immediately', 'theyre')",9
"('north', 'old', 'state')",9
"('bunch', 'shit', 'road')",9
"('theres', 'bunch', 'shit')",9
"('questions', 'theyre', 'route')",9
"('okay', 'shortness', 'breath')",9
"('let', 'eat', 'drink')",9
"('dont', 'let', 'eat')",9
"('need', 'ask', 'questions')",9
"('got', 'dispatched', 'guys')",9
"('okay', 'yeah', 'okay')",9
"('okay', 'alright', 'alright')",9
"('whens', 'last', 'time')",9
"('way', 'stay', 'phone')",9
"('dont', 'know', 'got')",9
"('feel', 'like', 'youre')",9
"('dont', 'think', 'dont')",9
"('respond', 'appropriately', 'yeah')",9
"('conscious', 'yes', 'old')",9
"('medics', 'get', 'okay')",9
"('took', 'blood', 'pressure')",9
"('35', 'lexington', 'boulevard')",9
"('speak', 'full', 'sentences')",9
"('shes', 'trouble', 'breathing')",9
"('gon', 'na', 'help')",9
"('getting', 'help', 'started')",9
"('okay', 'said', 'shes')",9
"('cant', 'get', 'floor')",9
"('whats', 'going', 'im')",9
"('right', 'dont', 'know')",9
"('okay', 'thank', 'alright')",9
"('whats', 'going', 'resident')",9
"('3971', 'bradford', 'court')",9
"('theyre', 'route', 'okay')",9
"('yeah', 'oh', 'yeah')",9
"('hard', 'time', 'swallowing')",9
"('ahead', 'start', 'medics')",9
"('covid', 'symptoms', 'household')",9
"('okay', 'okay', 'well')",9
"('yeah', 'okay', 'shes')",9
"('im', 'sorry', 'say')",9
"('get', 'back', 'okay')",9
"('either', 'covid', 'symptoms')",9
"('right', 'thank', 'much')",9
"('partner', 'start', 'medic')",9
"('emergency', '911', 'whats')",9
"('case', 'youre', 'disconnected')",9
"('medics', 'way', 'anything')",9
"('breathe', 'short', 'breath')",9
"('youre', 'calling', 'phone')",9
"('route', 'anything', 'changes')",9
"('let', 'rest', 'comfortably')",9
"('anyone', 'covid', 'symptoms')",9
"('help', 'en', 'route')",9
"('avenue', 'delaware', 'ohio')",9
"('emergency', '26', 'north')",9
"('address', 'emergency', '26')",9
"('make', 'sure', 'everythings')",9
"('called', 'case', 'get')",9
"('immediately', 'okay', 'right')",8
"('okay', 'blood', 'pressure')",8
"('comfortable', 'position', 'nothing')",8
"('position', 'nothing', 'eat')",8
"('anyone', 'home', 'covid')",8
"('recently', 'ordered', 'quarantine')",8
"('pain', 'anywhere', 'pain')",8
"('appear', 'short', 'breath')",8
"('anybody', 'recently', 'ordered')",8
"('right', 'shortness', 'breath')",8
"('shortness', 'breath', 'hard')",8
"('okay', 'obvious', 'injuries')",8
"('youre', 'welcome', 'thank')",8
"('back', 'immediately', 'ok')",8
"('next', 'time', 'okay')",8
"('oh', 'im', 'sorry')",8
"('hes', 'known', 'diabetic')",8
"('unless', 'hes', 'known')",8
"('drink', 'unless', 'hes')",8
"('back', 'theyre', 'way')",8
"('shortly', 'okay', 'thank')",8
"('wanted', 'make', 'sure')",8
"('phone', 'number', 'okay')",8
"('think', 'dont', 'know')",8
"('help', 'coming', 'okay')",8
"('didnt', 'lose', 'consciousness')",8
"('okay', 'ok', 'thank')",8
"('going', 'trouble', 'anything')",8
"('youre', 'going', 'trouble')",8
"('trying', 'call', '411')",8
"('got', 'allergy', 'shot')",8
"('weve', 'got', 'medic')",8
"('249', 'kensington', 'drive')",8
"('let', 'anything', 'eat')",8
"('dont', 'let', 'anything')",8
"('need', 'stay', 'phone')",8
"('three', 'four', 'five')",8
"('think', 'need', 'medic')",8
"('get', 'first', 'name')",8
"('medic', 'think', 'need')",8
"('need', 'medic', 'think')",8
"('hi', 'delaware', 'county')",8
"('hello', 'hi', 'delaware')",8
"('appropriately', 'yeah', 'okay')",8
"('okay', 'feel', 'like')",8
"('illness', 'prior', 'falling')",8
"('67', 'west', 'fountain')",8
"('want', 'stay', 'phone')",8
"('rest', 'comfortable', 'possible')",8
"('1330', 'hanover', 'road')",8
"('rolling', 'meadows', 'drive')",8
"('couple', 'questions', 'okay')",8
"('let', 'get', 'sheriffs')",8
"('call', 'back', 'right')",8
"('alright', 'thank', 'much')",8
"('dont', 'know', 'phone')",8
"('know', 'much', 'weigh')",8
"('cost', 'fever', 'shortness')",8
"('okay', 'well', 'get')",8
"('okay', 'much', 'weigh')",8
"('well', 'anything', 'changes')",8
"('anything', 'like', 'shes')",8
"('covid', 'symptoms', 'house')",8
"('okay', 'looks', 'like')",8
"('okay', 'history', 'heart')",8
"('rest', 'comfortably', 'dont')",8
"('know', 'phone', 'number')",8
"('address', 'emergency', 'um')",8
"('door', 'need', 'go')",8
"('emergency', '3971', 'bradford')",8
"('address', 'emergency', '3971')",8
"('shortly', 'okay', 'okay')",8
"('theyll', 'shortly', 'okay')",8
"('partner', 'getting', 'medics')",8
"('rock', 'creek', 'drive')",8
"('worse', 'way', 'go')",8
"('okay', 'let', 'get')",8
"('okay', 'hurt', 'breathe')",8
"('delaware', 'ohio', '43015')",8
"('worse', 'give', 'us')",8
"('right', 'yes', 'okay')",8
"('started', 'way', 'okay')",8
"('drive', 'okay', 'whats')",8
"('get', 'door', 'unlocked')",8
"('alright', 'thank', 'byebye')",8
"('whats', 'going', 'morning')",8
"('okay', 'whats', 'first')",8
"('number', 'case', 'youre')",8
"('go', 'emergency', 'room')",8
"('okay', 'medics', 'way')",8
"('front', 'door', 'yeah')",8
"('anything', 'changes', 'okay')",8
"('thank', 'thank', 'thank')",8
"('hello', 'hello', 'hi')",8
"('give', 'medics', 'get')",8
"('covid', 'symptoms', 'covid')",8
"('give', 'call', 'right')",8
"('dont', 'know', 'happened')",8
"('thank', 'thank', 'byebye')",8
"('back', 'okay', 'alright')",8
"('right', 'well', 'weve')",8
"('whats', 'name', 'im')",8
"('going', 'covid', 'symptoms')",7
"('everything', 'going', 'covid')",7
"('second', 'im', 'going')",7
"('exactly', 'happened', 'husband')",7
"('anything', 'change', 'get')",7
"('obvious', 'injuries', 'see')",7
"('currently', 'conscious', 'yes')",7
"('hello', 'hello', 'hello')",7
"('south', 'sandusky', 'street')",7
"('needs', 'go', 'hospital')",7
"('100', 'rolling', 'meadows')",7
"('okay', 'sit', 'breathe')",7
"('okay', 'old', 'wife')",7
"('partner', 'started', 'medics')",7
"('oh', 'yeah', 'yeah')",7
"('whats', 'happened', 'okay')",7
"('right', 'well', 'way')",7
"('respond', 'appropriately', 'yes')",7
"('okay', 'okay', 'whats')",7
"('thank', 'problem', 'goodbye')",7
"('okay', 'thank', 'problem')",7
"('emergency', 'im', 'sorry')",7
"('floor', 'cant', 'get')",7
"('okay', 'responding', 'appropriately')",7
"('home', 'quarantined', 'doctor')",7
"('okay', 'conscious', 'right')",7
"('country', 'history', 'fever')",7
"('okay', 'pain', 'anywhere')",7
"('immediately', 'theyre', 'way')",7
"('half', 'hour', 'ago')",7
"('phone', 'number', 'please')",7
"('okay', 'right', 'alright')",7
"('10', 'feet', 'yeah')",7
"('sounds', 'like', 'hes')",7
"('awake', 'able', 'talk')",7
"('correct', 'yes', 'okay')",7
"('going', 'get', 'help')",7
"('drive', 'powell', 'ohio')",7
"('right', 'okay', 'okay')",7
"('let', 'know', 'youre')",7
"('thank', 'much', 'appreciate')",7
"('west', 'orange', 'road')",7
"('name', 'real', 'quick')",7
"('time', 'swallowing', 'okay')",7
"('covid', 'symptoms', 'anybody')",7
"('3584', 'home', 'road')",7
"('right', 'thank', 'youre')",7
"('okay', 'partner', 'starting')",7
"('last', 'night', 'okay')",7
"('unless', 'shes', 'known')",7
"('185', 'north', 'walnut')",7
"('im', 'sorry', 'cant')",7
"('speaking', 'full', 'sentences')",7
"('trouble', 'breathing', 'okay')",7
"('partner', 'getting', 'help')",7
"('start', 'medics', 'way')",7
"('house', 'suffering', 'cough')",7
"('anyone', 'house', 'suffering')",7
"('right', 'well', 'im')",7
"('got', 'couple', 'officers')",7
"('dont', 'feel', 'safe')",7
"('im', 'sorry', 'youre')",7
"('lot', 'help', 'coming')",7
"('shes', 'known', 'diabetic')",7
"('short', 'breath', 'shes')",7
"('okay', 'great', 'thank')",7
"('fallen', 'cant', 'get')",7
"('whats', 'addressed', 'emergency')",7
"('right', 'well', 'help')",7
"('thank', 'im', 'sorry')",7
"('yeah', 'okay', 'im')",7
"('partners', 'going', 'dispatch')",7
"('right', 'okay', 'right')",7
"('shes', 'breathing', 'okay')",7
"('whats', 'name', 'sir')",7
"('okay', 'ill', 'let')",7
"('okay', 'able', 'speak')",7
"('well', 'medics', 'way')",7
"('door', 'unlocked', 'yeah')",7
"('help', 'started', 'way')",7
"('yeah', 'okay', 'whats')",7
"('sure', 'door', 'unlocked')",7
"('make', 'sure', 'door')",7
"('breathing', 'okay', 'yes')",7
"('okay', 'know', 'old')",7
"('im', 'sorry', 'dont')",7
"('go', 'ahead', 'disconnect')",7
"('beep', '911', 'whats')",7
"('get', 'call', 'us')",7
"('talk', 'full', 'sentences')",7
"('comfortable', 'okay', 'okay')",7
"('couple', 'minutes', 'okay')",7
"('im', 'going', 'stay')",7
"('correct', 'yes', 'yes')",7
"('said', 'dont', 'know')",7
"('know', 'hes', 'got')",7
"('get', 'okay', 'okay')",7
"('911', 'whats', 'addressed')",7
"('thank', 'byebye', 'byebye')",7
"('na', 'start', 'medic')",7
"('years', 'old', 'hes')",7
"('ok', 'ok', 'thank')",7
"('lose', 'consciousness', 'know')",7
"('fell', 'hit', 'head')",7
"('worsens', 'give', 'us')",7
"('call', 'back', 'thank')",7
"('welcome', 'bye', 'bye')",7
"('calling', 'phone', 'number')",7
"('na', 'get', 'medic')",7
"('started', 'way', 'im')",7
"('whats', 'name', 'names')",7
"('dont', 'want', 'get')",7
"('im', 'sorry', 'name')",7
"('name', 'im', 'sorry')",7
"('stand', 'line', 'im')",7
"('cant', 'get', 'car')",7
"('pain', 'anywhere', 'else')",7
"('shes', 'responding', 'appropriately')",7
"('dont', 'splint', 'injuries')",7
"('okay', 'awake', 'right')",7
"('whats', 'going', 'yeah')",7
"('changes', 'okay', 'okay')",7
"('thank', 'much', 'byebye')",7
"('like', 'youre', 'right')",7
"('im', 'trying', 'leave')",7
"('go', 'ahead', 'mask')",7
"('cloth', 'apply', 'pressure')",7
"('okay', 'right', 'right')",7
"('well', 'medic', 'way')",7
"('tell', 'move', 'dont')",7
"('youre', 'breathing', 'okay')",6
"('door', 'unlocked', 'im')",6
"('door', 'unlocked', 'medic')",6
"('partner', 'starting', 'medics')",6
"('know', 'said', 'hes')",6
"('told', 'call', '911')",6
"('immediately', 'okay', 'thank')",6
"('weve', 'got', 'dispatch')",6
"('youre', 'gon', 'na')",6
"('okay', 'alright', 'theyre')",6
"('okay', 'im', 'gon')",6
"('call', 'back', 'way')",6
"('partners', 'got', 'medic')",6
"('okay', 'respond', 'appropriately')",6
"('medics', 'okay', 'okay')",6
"('orders', 'quarantine', 'alright')",6
"('thats', 'completely', 'fine')",6
"('okay', 'oxygen', 'okay')",6
"('covid', 'symptoms', 'cough')",6
"('alright', 'well', 'medic')",6
"('something', 'changes', 'give')",6
"('well', 'theyre', 'way')",6
"('old', 'state', 'road')",6
"('problem', 'take', 'care')",6
"('delaware', 'ohio', 'whats')",6
"('call', '911', 'okay')",6
"('speak', 'four', 'sentences')",6
"('shortly', 'keep', 'eye')",6
"('follow', 'simple', 'command')",6
"('history', 'mental', 'illness')",6
"('get', 'let', 'know')",6
"('conscious', 'breathing', 'yeah')",6
"('okay', 'well', 'medics')",6
"('yeah', 'dont', 'know')",6
"('ok', 'right', 'well')",6
"('changes', 'worse', 'go')",6
"('pain', 'illness', 'fell')",6
"('lose', 'consciousness', 'okay')",6
"('okay', 'drooling', 'difficult')",6
"('medic', 'started', 'okay')",6
"('blood', 'pressure', 'issues')",6
"('alright', 'well', 'like')",6
"('changes', 'get', 'go')",6
"('call', 'okay', 'okay')",6
"('youre', 'calling', 'im')",6
"('well', 'medics', 'en')",6
"('okay', 'injured', 'need')",6
"('well', 'im', 'going')",6
