,Bigram,Frequency
31860,"('yeah', 'monday')",1
31861,"('monday', 'easter')",1
31862,"('easter', 'matter')",1
31863,"('matter', 'fact')",1
31864,"('fact', 'gotcha')",1
31865,"('gotcha', 'know')",1
31866,"('know', 'obvious')",1
31867,"('strength', 'push')",1
31868,"('push', 'onto')",1
31869,"('onto', 'feet')",1
31870,"('feet', 'course')",1
31871,"('course', 'surgery')",1
31872,"('surgery', 'fairly')",1
31873,"('fairly', 'new')",1
31874,"('new', 'shes')",1
31875,"('concerned', 'know')",1
31876,"('year', 'april')",1
31877,"('said', 'third')",1
31878,"('route', 'lets')",1
31879,"('steps', 'carpeted')",1
31880,"('walker', 'cant')",1
31881,"('get', 'walker')",1
31882,"('walker', 'okay')",1
31883,"('flooring', 'concrete')",1
31884,"('concrete', 'thats')",1
31885,"('problem', 'felt')",1
31886,"('felt', 'tripped')",1
31887,"('carpeted', 'must')",1
31888,"('know', 'mark')",1
31889,"('must', 'caught')",1
31890,"('caught', 'foot')",1
31891,"('foot', 'carpeting')",1
31892,"('carpeting', 'went')",1
31893,"('went', 'forward')",1
31894,"('forward', 'landed')",1
31895,"('knees', 'concrete')",1
31896,"('anything', 'broken')",1
31897,"('got', 'course')",1
31898,"('still', 'basement')",1
31899,"('course', 'therapy')",1
31900,"('wrong', 'doesnt')",1
31901,"('checked', 'know')",1
31902,"('breathing', 'bleeding')",1
31903,"('appear', 'already')",1
31904,"('already', 'well')",1
31905,"('well', 'mark')",1
31906,"('round', 'minute')",1
31907,"('ago', 'shortly')",1
31908,"('shortly', 'well')",1
31909,"('well', 'street')",1
31910,"('street', 'grady')",1
31911,"('grady', 'yes')",1
31912,"('injuries', 'splunk')",1
31913,"('splunk', 'allow')",1
31914,"('straight', 'chair')",1
31915,"('thats', 'far')",1
31916,"('far', 'get')",1
31917,"('anythings', 'wrong')",1
31918,"('checked', 'dont')",1
31919,"('hospital', 'checked')",1
31920,"('muscles', 'yeah')",1
31921,"('therapy', 'theyre')",1
31922,"('theyre', 'giving')",1
31923,"('giving', 'working')",1
31924,"('working', 'toward')",1
31925,"('toward', 'building')",1
31926,"('building', 'strength')",1
31927,"('strength', 'muscles')",1
31928,"('well', 'always')",1
31929,"('always', 'take')",1
31930,"('always', 'check')",1
31931,"('check', 'around')",1
31932,"('say', 'thanks')",1
31933,"('thanks', 'lang')",1
31934,"('lang', 'syang')",1
31935,"('syang', 'head')",1
31936,"('head', 'always')",1
31937,"('fell', 'coming')",1
31938,"('maybe', 'check')",1
31939,"('chair', 'took')",1
31940,"('going', 'dad')",1
31941,"('basically', 'paralyzed')",1
31942,"('paralyzed', 'cant')",1
31943,"('stuck', 'chair')",1
31944,"('chair', 'hes')",1
31945,"('hes', 'worried')",1
31946,"('worried', 'hes')",1
31947,"('slurred', 'way')",1
31948,"('hes', 'slurred')",1
31949,"('slurred', 'can')",1
31950,"('move', 'though')",1
31951,"('though', 'tried')",1
31952,"('tried', 'lift')",1
31953,"('give', 'basically')",1
31954,"('like', 'sudden')",1
31955,"('sudden', 'weakness')",1
31956,"('yeah', 'weakness')",1
31957,"('weakness', 'normal')",1
31958,"('basically', 'cant')",1
31959,"('second', 'tell')",1
31960,"('see', 'ribs')",1
31961,"('number', 'hang')",1
31962,"('vomited', 'hasnt')",1
31963,"('dispatch', 'lori')",1
31964,"('lori', 'try')",1
31965,"('try', 'mouth')",1
31966,"('mouth', 'comfortable')",1
31967,"('position', 'get')",1
31968,"('emergency', '6363')",1
31969,"('6363', 'pinehurst')",1
31970,"('point', 'westerville')",1
31971,"('43082', 'name')",1
31972,"('name', 'gem')",1
31973,"('gem', 'stomp')",1
31974,"('stomp', 'phone')",1
31975,"('oh', 'geez')",1
31976,"('geez', 'dont')",1
31977,"('know', 'parents')",1
31978,"('parents', 'number')",1
31979,"('using', 'walks')",1
31980,"('walks', 'walker')",1
31981,"('walker', 'able')",1
31982,"('gotcha', 'said')",1
31983,"('understanding', 'right')",1
31984,"('sides', 'yep')",1
31985,"('yep', 'hang')",1
31986,"('let', 'second')",1
31987,"('second', 'try')",1
31988,"('looks', 'pretty')",1
31989,"('much', 'even')",1
31990,"('side', 'maybe')",1
31991,"('bit', 'less')",1
31992,"('less', 'okay')",1
31993,"('get', 'diabetic')",1
31994,"('seizure', 'uh')",1
31995,"('headache', 'dad')",1
31996,"('anything', 'dad')",1
31997,"('anything', 'headache')",1
31998,"('headache', 'literally')",1
31999,"('literally', 'can')",1
32000,"('course', 'time')",1
32001,"('go', 'course')",1
32002,"('valve', 'hes')",1
32003,"('fine', 'complained')",1
32004,"('said', '87')",1
32005,"('87', 'yes')",1
32006,"('im', 'making')",1
32007,"('making', 'notes')",1
32008,"('notes', 'medics')",1
32009,"('medics', 'weve')",1
32010,"('got', 'youre')",1
32011,"('complained', 'injuries')",1
32012,"('new', 'heart')",1
32013,"('pain', 'vomiting')",1
32014,"('vomiting', 'overnight')",1
32015,"('overnight', 'stopped')",1
32016,"('stopped', 'hes')",1
32017,"('multiple', 'stents')",1
32018,"('stents', 'hes')",1
32019,"('pacemaker', 'hes')",1
32020,"('vomited', 'vomited')",1
32021,"('sick', 'vomited')",1
32022,"('gotten', 'sick')",1
32023,"('millstone', 'court')",1
32024,"('really', 'lean')",1
32025,"('lean', 'chair')",1
32026,"('time', 'broke')",1
32027,"('broke', 'rib')",1
32028,"('rib', 'side')",1
32029,"('ok', 'hurts')",1
32030,"('hurts', 'land')",1
32031,"('land', 'chris')",1
32032,"('chris', 'concrete')",1
32033,"('concrete', 'alrighty')",1
32034,"('alrighty', 'trouble')",1
32035,"('comfortable', 'eyes')",1
32036,"('eyes', 'alright')",1
32037,"('dispatch', 'chris')",1
32038,"('chris', 'stay')",1
32039,"('safe', 'comfortable')",1
32040,"('emergency', '627')",1
32041,"('knees', 'oh')",1
32042,"('artificial', 'knees')",1
32043,"('two', 'artificial')",1
32044,"('dumpster', 'driveway')",1
32045,"('ribs', 'okay')",1
32046,"('emergency', 'shes')",1
32047,"('turn', 'siren')",1
32048,"('siren', 'let')",1
32049,"('right', 'chris')",1
32050,"('chris', 'yes')",1
32051,"('back', 'dumpster')",1
32052,"('driveway', 'pull')",1
32053,"('consciousness', 'two')",1
32054,"('pull', 'right')",1
32055,"('right', 'mmhmm')",1
32056,"('shes', 'bigger')",1
32057,"('bigger', '76')",1
32058,"('76', 'obvious')",1
32059,"('cut', 'finger')",1
32060,"('finger', 'consciousness')",1
32061,"('627', 'millstone')",1
32062,"('court', 'sunbury')",1
32063,"('got', 'unlocked')",1
32064,"('sunbury', 'whats')",1
32065,"('lori', 'partners')",1
32066,"('guys', 'old')",1
32067,"('old', '51')",1
32068,"('50', '51')",1
32069,"('50', 'awake')",1
32070,"('alert', 'ya')",1
32071,"('ya', 'okay')",1
32072,"('hes', 'due')",1
32073,"('correct', 'due')",1
32074,"('due', 'stuff')",1
32075,"('going', 'correct')",1
32076,"('injury', 'covid')",1
32077,"('household', 'anyone')",1
32078,"('sometimes', 'dont')",1
32079,"('dont', 'trouble')",1
32080,"('correct', 'trouble')",1
32081,"('trouble', 'alrighty')",1
32082,"('husband', 'lori')",1
32083,"('catheter', 'alrighty')",1
32084,"('needs', 'catheter')",1
32085,"('husband', 'lot')",1
32086,"('lori', 'hunt')",1
32087,"('hunt', 'roy')",1
32088,"('roy', 'whats')",1
32089,"('called', '6148003935')",1
32090,"('6148003935', 'okay')",1
32091,"('going', 'lori')",1
32092,"('lori', 'husband')",1
32093,"('pain', 'hour')",1
32094,"('thinks', 'needs')",1
32095,"('hour', 'unable')",1
32096,"('unable', 'urinate')",1
32097,"('urinate', 'defecate')",1
32098,"('defecate', 'prostatitis')",1
32099,"('prostatitis', 'interstitial')",1
32100,"('interstitial', 'cystitis')",1
32101,"('cystitis', 'thinks')",1
32102,"('took', 'walker')",1
32103,"('awake', 'oh')",1
32104,"('harrelds', 'office')",1
32105,"('denika', 'phew')",1
32106,"('ya', 'underwood')",1
32107,"('underwood', 'thank')",1
32108,"('thank', 'verbal')",1
32109,"('argument', 'thank')",1
32110,"('need', 'see')",1
32111,"('see', 'medic')",1
32112,"('um', 'nah')",1
32113,"('nah', 'right')",1
32114,"('think', 'somebodys')",1
32115,"('somebodys', 'scared')",1
32116,"('scared', 'thats')",1
32117,"('thats', 'anybody')",1
32118,"('drugs', 'today')",1
32119,"('dont', 'honestly')",1
32120,"('anybody', 'access')",1
32121,"('home', 'removed')",1
32122,"('removed', 'home')",1
32123,"('phew', 'see')",1
32124,"('oh', 'denika')",1
32125,"('weakness', 'okay')",1
32126,"('name', 'girlfriends')",1
32127,"('emergency', '146')",1
32128,"('146', 'cheshire')",1
32129,"('cheshire', 'crossing')",1
32130,"('crossing', 'name')",1
32131,"('name', 'jake')",1
32132,"('jake', 'jason')",1
32133,"('telephone', '6146078189')",1
32134,"('6146078189', 'tell')",1
32135,"('happened', 'domestic')",1
32136,"('domestic', 'issue')",1
32137,"('issue', 'going')",1
32138,"('im', 'girlfriend')",1
32139,"('girlfriend', 'boyfriend')",1
32140,"('boyfriend', 'see')",1
32141,"('bit', 'control')",1
32142,"('control', 'thats')",1
32143,"('thats', 'jason')",1
32144,"('home', 'separated')",1
32145,"('like', 'away')",1
32146,"('away', 'different')",1
32147,"('room', 'tried')",1
32148,"('stiff', 'can')",1
32149,"('not', 'walk')",1
32150,"('walk', 'get')",1
32151,"('around', 'also')",1
32152,"('today', 'really')",1
32153,"('severe', 'like')",1
32154,"('like', 'squad')",1
32155,"('wife', 'sweetie')",1
32156,"('sweetie', 'home')",1
32157,"('yeah', 'taped')",1
32158,"('taped', 'sewening')",1
32159,"('sewening', 'two')",1
32160,"('husband', 'doesnt')",1
32161,"('old', 'either')",1
32162,"('either', 'said')",1
32163,"('said', 'complaining')",1
32164,"('yes', 'stiffness')",1
32165,"('shaking', 'stiff')",1
32166,"('woke', 'shaking')",1
32167,"('problems', 'woke')",1
32168,"('7409175188', 'whats')",1
32169,"('come', 'separate')",1
32170,"('separate', 'room')",1
32171,"('room', 'came')",1
32172,"('came', 'aggravated')",1
32173,"('emergency', '8212')",1
32174,"('8212', 'coldwater')",1
32175,"('called', '7409175188')",1
32176,"('name', 'faylor')",1
32177,"('medical', 'problems')",1
32178,"('faylor', 'fehler')",1
32179,"('fehler', 'first')",1
32180,"('john', 'alright')",1
32181,"('today', 'john')",1
32182,"('john', 'okay')",1
32183,"('wife', 'woke')",1
32184,"('woke', 'medical')",1
32185,"('em', 'bye')",1
32186,"('welcome', 'em')",1
32187,"('sweetheart', 'youre')",1
32188,"('sidewalk', 'street')",1
32189,"('gollidistant', 'im')",1
32190,"('trouble', 'talking')",1
32191,"('talking', 'ok')",1
32192,"('unlocked', 'girl')",1
32193,"('garage', 'im')",1
32194,"('right', 'ahh')",1
32195,"('okay', 'anne')",1
32196,"('anne', 'well')",1
32197,"('emergency', '543')",1
32198,"('543', 'zion')",1
32199,"('yes', 'next')",1
32200,"('door', 'neighbor')",1
32201,"('street', 'broke')",1
32202,"('broke', 'wrist')",1
32203,"('wrist', 'shes')",1
32204,"('still', 'street')",1
32205,"('shes', 'street')",1
32206,"('idly', 'gollidistant')",1
32207,"('healthy', 'hes')",1
32208,"('ohio', 'healthy')",1
32209,"('number', '4178133')",1
32210,"('office', 'nurse')",1
32211,"('nurse', 'talked')",1
32212,"('talked', 'wants')",1
32213,"('er', 'evaluated')",1
32214,"('evaluated', 'thank')",1
32215,"('im', 'wheelchair')",1
32216,"('wheelchair', 'im')",1
32217,"('4178133', 'yes')",1
32218,"('idly', 'ohio')",1
32219,"('77', 'let')",1
32220,"('door', 'cause')",1
32221,"('cause', 'short')",1
32222,"('breath', 'ive')",1
32223,"('swallowing', 'saw')",1
32224,"('saw', 'doctor')",1
32225,"('week', 'doctor')",1
32226,"('street', 'sidewalk')",1
32227,"('street', 'across')",1
32228,"('thank', 'sweetheart')",1
32229,"('across', 'road')",1
32230,"('head', 'start')",1
32231,"('hand', 'would')",1
32232,"('im', '55')",1
32233,"('55', 'know')",1
32234,"('weigh', 'kimberly')",1
32235,"('kimberly', 'uh')",1
32236,"('uh', '160')",1
32237,"('160', 'front')",1
32238,"('medic', 'gon')",1
32239,"('na', 'garage')",1
32240,"('open', 'already')",1
32241,"('already', 'daughter')",1
32242,"('daughter', 'put')",1
32243,"('cage', 'bawf')",1
32244,"('bawf', 'early')",1
32245,"('early', 'alrighty')",1
32246,"('man', 'well')",1
32247,"('na', 'head')",1
32248,"('kimberly', 'gon')",1
32249,"('alrighty', 'kimberly')",1
32250,"('threatening', 'fall')",1
32251,"('road', 'come')",1
32252,"('come', 'see')",1
32253,"('emergency', '161')",1
32254,"('161', 'somerset')",1
32255,"('somerset', 'road')",1
32256,"('road', 'life')",1
32257,"('life', 'threatening')",1
32258,"('injured', 'maam')",1
32259,"('6145199629', 'alrighty')",1
32260,"('maam', 'need')",1
32261,"('getting', 'alrighty')",1
32262,"('alrighty', 'whats')",1
32263,"('kimberly', 'smith')",1
32264,"('smith', 'okay')",1
32265,"('hey', 'kimberly')",1
32266,"('called', '6145199629')",1
32267,"('stiffness', 'weakness')",1
32268,"('uh', 'hard')",1
32269,"('ketner', 'okay')",1
32270,"('beatridge', 'okay')",1
32271,"('said', 'aggressive')",1
32272,"('aggressive', 'earlier')",1
32273,"('earlier', 'yes')",1
32274,"('anything', 'physical')",1
32275,"('physical', 'today')",1
32276,"('nothing', 'cool')",1
32277,"('cool', 'today')",1
32278,"('today', 'ongoing')",1
32279,"('ongoing', 'cycle')",1
32280,"('cycle', 'probably')",1
32281,"('weeks', 'since')",1
32282,"('since', 'graduated')",1
32283,"('graduated', 'college')",1
32284,"('college', 'shell')",1
32285,"('shell', 'back')",1
32286,"('way', 'try')",1
32287,"('contact', 'guys')",1
32288,"('beatridge', 'know')",1
32289,"('court', 'time')",1
32290,"('severe', 'little')",1
32291,"('walking', 'glen')",1
32292,"('accident', 'yesterday')",1
32293,"('yesterday', 'totaled')",1
32294,"('totaled', 'car')",1
32295,"('car', 'vehicle')",1
32296,"('vehicle', 'moment')",1
32297,"('moment', 'okay')",1
32298,"('wearing', 'looks')",1
32299,"('hispanic', 'shes')",1
32300,"('shes', 'white')",1
32301,"('white', 'long')",1
32302,"('long', 'blonde')",1
32303,"('blonde', 'hair')",1
32304,"('hair', 'black')",1
32305,"('black', 'shorts')",1
32306,"('shorts', 'green')",1
32307,"('green', 'sweatshirt')",1
32308,"('sweatshirt', 'okay')",1
32309,"('walking', 'see')",1
32310,"('walking', 'go')",1
32311,"('beading', 'supply')",1
32312,"('supply', 'needs')",1
32313,"('navigating', 'basement')",1
32314,"('basement', 'stairs')",1
32315,"('fell', 'first')",1
32316,"('second', 'step')",1
32317,"('step', 'fell')",1
32318,"('fell', 'knees')",1
32319,"('get', 'beyond')",1
32320,"('beyond', 'getting')",1
32321,"('getting', 'onto')",1
32322,"('onto', 'chair')",1
32323,"('chair', 'say')",1
32324,"('top', 'stairs')",1
32325,"('bottom', 'fell')",1
32326,"('two', 'stairs')",1
32327,"('name', 'donald')",1
32328,"('donald', 'kettner')",1
32329,"('kettner', 'ketner')",1
32330,"('april', 'navigating')",1
32331,"('early', 'april')",1
32332,"('surgery', 'early')",1
32333,"('return', 'gets')",1
32334,"('needs', 'made')",1
32335,"('made', 'beach')",1
32336,"('beach', 'ridge')",1
32337,"('ridge', 'cant')",1
32338,"('see', 'think')",1
32339,"('walking', 'way')",1
32340,"('would', 'return')",1
32341,"('gets', 'give')",1
32342,"('replacement', 'surgery')",1
32343,"('okay', 'karen')",1
32344,"('ugh', 'address')",1
32345,"('yep', '354')",1
32346,"('354', 'eastwood')",1
32347,"('eastwood', 'avenue')",1
32348,"('wife', 'hip')",1
32349,"('surgery', 'hip')",1
32350,"('foot', 'car')",1
32351,"('looking', 'foot')",1
32352,"('shes', 'looking')",1
32353,"('diagnosed', 'mental')",1
32354,"('mmhmm', 'whats')",1
32355,"('going', 'karen')",1
32356,"('karen', 'daughter')",1
32357,"('shes', '23jolt')",1
32358,"('23jolt', 'left')",1
32359,"('left', 'really')",1
32360,"('really', 'needs')",1
32361,"('checked', 'mental')",1
32362,"('mental', 'situation')",1
32363,"('leaving', 'property')",1
32364,"('property', 'could')",1
32365,"('could', 'abusive')",1
32366,"('abusive', 'needs')",1
32367,"('said', 'mother')",1
32368,"('mother', 'thats')",1
32369,"('thats', 'daughter')",1
32370,"('23', '23')",1
32371,"('6148460580', 'mmhmm')",1
32372,"('called', '6148460580')",1
32373,"('curran', 'phone')",1
32374,"('want', 'allow')",1
32375,"('severe', 'feeling')",1
32376,"('pain', 'pump')",1
32377,"('pump', 'back')",1
32378,"('back', 'constant')",1
32379,"('back', 'fever')",1
32380,"('behavior', 'would')",1
32381,"('way', 'position')",1
32382,"('shes', 'nondiabetic')",1
32383,"('karen', 'curran')",1
32384,"('nondiabetic', 'okay')",1
32385,"('away', 'put')",1
32386,"('leaving', 'refuse')",1
32387,"('refuse', 'go')",1
32388,"('somewhere', '911')",1
32389,"('emergency', '271')",1
32390,"('271', 'glen')",1
32391,"('23', 'diagnosed')",1
32392,"('mental', 'issues')",1
32393,"('foot', 'vehicle')",1
32394,"('aware', 'one')",1
32395,"('karen', 'mmhmm')",1
32396,"('yes', 'drugs')",1
32397,"('alcohol', 'youre')",1
32398,"('aware', 'today')",1
32399,"('today', 'karen')",1
32400,"('yes', 'urges')",1
32401,"('urges', 'believe')",1
32402,"('shes', 'heavy')",1
32403,"('heavy', 'marijuana')",1
32404,"('marijuana', 'first')",1
32405,"('time', 'weapons')",1
32406,"('household', 'carrying')",1
32407,"('carrying', 'weapons')",1
32408,"('weapons', 'come')",1
32409,"('yeah', 'left')",1
32410,"('okay', 'leaving')",1
32411,"('leaving', 'foot')",1
32412,"('wooster', 'karen')",1
32413,"('name', 'wooster')",1
32414,"('says', 'last')",1
32415,"('today', 'ummm')",1
32416,"('one', 'wont')",1
32417,"('wont', 'deal')",1
32418,"('deal', 'im')",1
32419,"('suicidal', 'okay')",1
32420,"('okay', 'cause')",1
32421,"('cause', 'made')",1
32422,"('threats', 'anything')",1
32423,"('ummm', 'kill')",1
32424,"('jordan', 'mmhmm')",1
32425,"('kill', 'okay')",1
32426,"('okay', 'anyhow')",1
32427,"('anyhow', 'leave')",1
32428,"('back', 'whats')",1
32429,"('name', 'jordan')",1
32430,"('jordan', 'worcester')",1
32431,"('worcester', 'jordan')",1
32432,"('take', '800')",1
32433,"('like', '800')",1
32434,"('matter', 'bye')",1
32435,"('weve', 'couch')",1
32436,"('come', 'bed')",1
32437,"('bed', 'worse')",1
32438,"('worse', 'recently')",1
32439,"('hospitalized', 'ok')",1
32440,"('ok', 'suffered')",1
32441,"('suffered', 'broken')",1
32442,"('leg', 'men')",1
32443,"('badridden', 'men')",1
32444,"('badridden', 'ew')",1
32445,"('ew', 'recent')",1
32446,"('outside', 'fader')",1
32447,"('fader', 'country')",1
32448,"('country', 'issue')",1
32449,"('issue', 'heart')",1
32450,"('said', 'takes')",1
32451,"('takes', 'alveolar')",1
32452,"('alveolar', 'breathing')",1
32453,"('couch', 'got')",1
32454,"('started', 'weve')",1
32455,"('pulse', '148')",1
32456,"('breathing', 'started')",1
32457,"('still', 'cold')",1
32458,"('cold', 'uh')",1
32459,"('uh', 'next')",1
32460,"('next', 'like')",1
32461,"('said', 'surged')",1
32462,"('surged', 'way')",1
32463,"('way', 'delaying')",1
32464,"('uh', 'sit')",1
32465,"('okay', 'yogis')",1
32466,"('yogis', 'laying')",1
32467,"('laying', 'know')",1
32468,"('say', 'scopg')",1
32469,"('scopg', 'problem')",1
32470,"('went', 'emergency')",1
32471,"('room', 'breathing')",1
32472,"('also', 'said')",1
32473,"('going', 'two')",1
32474,"('treatments', 'every')",1
32475,"('every', 'take')",1
32476,"('drooling', 'copd')",1
32477,"('copd', 'recent')",1
32478,"('road', 'shortly')",1
32479,"('shortly', 'try')",1
32480,"('calm', 'possibly')",1
32481,"('possibly', 'okay')",1
32482,"('little', 'difficult')",1
32483,"('difficult', 'try')",1
32484,"('best', 'well')",1
32485,"('okay', 'exert')",1
32486,"('anymore', 'gather')",1
32487,"('take', 'regularly')",1
32488,"('regularly', 'list')",1
32489,"('emergency', '3088')",1
32490,"('3088', 'cassidy')",1
32491,"('village', 'apartment')",1
32492,"('apartment', '3p')",1
32493,"('3p', '3088')",1
32494,"('3088', 'street')",1
32495,"('corner', 'road')",1
32496,"('room', 'corner')",1
32497,"('2551', 'room')",1
32498,"('home', 'doesnt')",1
32499,"('history', 'multiple')",1
32500,"('multiple', 'myeloma')",1
32501,"('myeloma', 'well')",1
32502,"('time', 'bye')",1
32503,"('thats', 'angry')",1
32504,"('angry', 'mission')",1
32505,"('mission', 'use')",1
32506,"('use', 'often')",1
32507,"('theyre', '2551')",1
32508,"('often', 'last')",1
32509,"('anyone', 'household')",1
32510,"('household', 'seeing')",1
32511,"('seeing', 'covid')",1
32512,"('tonight', 'nobodys')",1
32513,"('nobodys', 'working')",1
32514,"('working', 'quarantine')",1
32515,"('148', 'right')",1
32516,"('77', 'pulse')",1
32517,"('broke', 'arm')",1
32518,"('swallowing', 'major')",1
32519,"('ive', 'surgeries')",1
32520,"('surgeries', 'cancer')",1
32521,"('cancer', 'struck')",1
32522,"('struck', 'long')",1
32523,"('ago', 'oxygen')",1
32524,"('route', '5630')",1
32525,"('5630', 'lendbrook')",1
32526,"('lendbrook', 'lane')",1
32527,"('thank', 'meantime')",1
32528,"('exert', 'try')",1
32529,"('try', 'limit')",1
32530,"('limit', 'talking')",1
32531,"('question', 'signs')",1
32532,"('else', 'arent')",1
32533,"('arent', 'said')",1
32534,"('emergency', '2551')",1
32535,"('2551', 'rome')",1
32536,"('medics', 'aware')",1
32537,"('right', 'difficult')",1
32538,"('stats', '77')",1
32539,"('drooling', 'right')",1
32540,"('tuesday', 'gave')",1
32541,"('gave', 'chemo')",1
32542,"('chemo', 'think')",1
32543,"('like', 'zeroed')",1
32544,"('zeroed', 'right')",1
32545,"('understand', 'hospitalized')",1
32546,"('specific', 'including')",1
32547,"('including', 'appointments')",1
32548,"('appointments', 'havent')",1
32549,"('havent', 'admitted')",1
32550,"('admitted', 'since')",1
32551,"('since', 'december')",1
32552,"('travel', 'month')",1
32553,"('ago', 'arizona')",1
32554,"('arizona', 'history')",1
32555,"('issues', 'high')",1
32556,"('medicine', 'drooling')",1
32557,"('name', 'joan')",1
32558,"('joan', 'longshore')",1
32559,"('longshore', 'whats')",1
32560,"('disconnected', '7409729517')",1
32561,"('uses', 'funeral')",1
32562,"('funeral', 'treatments')",1
32563,"('treatments', 'regular')",1
32564,"('regular', 'basis')",1
32565,"('basis', 'okay')",1
32566,"('well', 'speak')",1
32567,"('four', 'seconds')",1
32568,"('seconds', 'tonight')",1
32569,"('tonight', 'um')",1
32570,"('um', 'problems')",1
32571,"('tonight', 'uhh')",1
32572,"('uhh', 'well')",1
32573,"('well', 'kills')",1
32574,"('kills', 'earlier')",1
32575,"('earlier', 'hes')",1
32576,"('hes', 'uncovered')",1
32577,"('uncovered', 'stats')",1
32578,"('breathe', 'inhaler')",1
32579,"('pain', 'im')",1
32580,"('like', 'catching')",1
32581,"('breathing', 'partner')",1
32582,"('7409729517', 'alright')",1
32583,"('going', '2551')",1
32584,"('2551', 'rum')",1
32585,"('rum', 'corners')",1
32586,"('corners', 'husband')",1
32587,"('husband', 'copd')",1
32588,"('copd', 'hes')",1
32589,"('dispatch', 'questions')",1
32590,"('trouble', 'like')",1
32591,"('husband', 'cross')",1
32592,"('cross', 'queryingographic')",1
32593,"('queryingographic', 'right')",1
32594,"('think', 'conscious')",1
32595,"('long', 'trouble')",1
32596,"('tonight', 'couple')",1
32597,"('hours', 'actually')",1
32598,"('street', 'calfity')",1
32599,"('calfity', 'village')",1
32600,"('village', 'draw')",1
32601,"('bed', 'america')",1
32602,"('start', 'paul')",1
32603,"('paul', '20')",1
32604,"('ago', '20')",1
32605,"('came', 'sudden')",1
32606,"('sudden', 'okay')",1
32607,"('looking', 'internet')",1
32608,"('internet', 'right')",1
32609,"('side', 'everybody')",1
32610,"('everybody', 'pays')",1
32611,"('pays', 'attention')",1
32612,"('attention', 'mean')",1
32613,"('mean', 'left')",1
32614,"('side', 'shes')",1
32615,"('got', 'shortest')",1
32616,"('shortest', 'breath')",1
32617,"('probably', 'enough')",1
32618,"('enough', 'call')",1
32619,"('america', 'start')",1
32620,"('start', 'need')",1
32621,"('draw', 'say')",1
32622,"('okay', '67')",1
32623,"('side', 'sudden')",1
32624,"('sudden', 'associating')",1
32625,"('associating', 'anything')",1
32626,"('anything', 'came')",1
32627,"('came', 'pretty')",1
32628,"('pretty', 'suddenly')",1
32629,"('suddenly', 'cant')",1
32630,"('move', 'hardly')",1
32631,"('hardly', 'ok')",1
32632,"('concerned', 'back')",1
32633,"('back', 'wed')",1
32634,"('wed', 'proactive')",1
32635,"('proactive', 'okay')",1
32636,"('started', 'watching')",1
32637,"('question', 'give')",1
32638,"('give', 'better')",1
32639,"('breath', 'gotcha')",1
32640,"('shes', 'sort')",1
32641,"('sort', 'breathy')",1
32642,"('breathy', 'hurt')",1
32643,"('breathe', 'talk')",1
32644,"('difference', 'cant')",1
32645,"('kind', 'half')",1
32646,"('half', 'shes')",1
32647,"('shes', 'couch')",1
32648,"('couch', 'shes')",1
32649,"('shes', 'leaning')",1
32650,"('leaning', 'trying')",1
32651,"('like', 'stabbing')",1
32652,"('stabbing', 'pain')",1
32653,"('ive', 'last')",1
32654,"('months', 'ive')",1
32655,"('boxes', 'clean')",1
32656,"('boxes', 'anything')",1
32657,"('tonight', 'started')",1
32658,"('today', 'tonight')",1
32659,"('tonight', 'tonight')",1
32660,"('besides', 'foot')",1
32661,"('lie', 'make')",1
32662,"('matter', 'sit')",1
32663,"('next', 'matter')",1
32664,"('breath', 'also')",1
32665,"('bad', 'rest')",1
32666,"('rest', 'work')",1
32667,"('work', 'turn')",1
32668,"('turn', 'hey')",1
32669,"('hey', 'maam')",1
32670,"('havent', 'said')",1
32671,"('said', 'short')",1
32672,"('also', 'hurt')",1
32673,"('good', 'next')",1
32674,"('surgery', 'month')",1
32675,"('month', 'half')",1
32676,"('ago', 'surgery')",1
32677,"('surgery', 'im')",1
32678,"('still', 'well')",1
32679,"('walk', 'good')",1
32680,"('problem', 'ok')",1
32681,"('spain', 'right')",1
32682,"('shes', 'spain')",1
32683,"('sat', 'shes')",1
32684,"('oxygen', 'tracker')",1
32685,"('say', 'wife')",1
32686,"('wife', 'umm')",1
32687,"('sorry', 'patient')",1
32688,"('patient', 'okay')",1
32689,"('old', '27')",1
32690,"('27', 'long')",1
32691,"('ago', 'test')",1
32692,"('covid', 'think')",1
32693,"('lightheaded', 'short')",1
32694,"('like', 'harder')",1
32695,"('harder', 'take')",1
32696,"('symptoms', 'youre')",1
32697,"('right', 'lightheaded')",1
32698,"('lightheaded', 'stand')",1
32699,"('stand', 'oh')",1
32700,"('breathe', 'felt')",1
32701,"('breath', 'lay')",1
32702,"('though', 'whats')",1
32703,"('conscious', 'though')",1
32704,"('burton', 'alright')",1
32705,"('columbia', 'okay')",1
32706,"('say', 'please')",1
32707,"('please', 'tasty')",1
32708,"('tasty', 'village')",1
32709,"('drive', 'cassidy')",1
32710,"('maam', 'yes')",1
32711,"('yes', 'city')",1
32712,"('city', 'columbia')",1
32713,"('hi', 'wife')",1
32714,"('brian', 'burton')",1
32715,"('wife', 'whitehead')",1
32716,"('whitehead', 'tested')",1
32717,"('guys', '863')",1
32718,"('ohio', 'trouble')",1
32719,"('number', '9372438813')",1
32720,"('9372438813', 'name')",1
32721,"('name', 'brian')",1
32722,"('lay', 'like')",1
32723,"('tracker', 'son')",1
32724,"('wife', 'sat')",1
