,Bigram,Frequency
159,"('lie', 'whichever')",8
160,"('ago', 'okay')",8
161,"('youre', 'going')",8
162,"('hes', 'heart')",8
163,"('okay', 'tell')",8
164,"('know', 'okay')",8
165,"('last', 'night')",8
166,"('heart', 'racing')",8
167,"('thank', 'okay')",8
168,"('feels', 'like')",8
169,"('ok', 'whats')",8
170,"('old', 'im')",8
171,"('recently', 'used')",8
172,"('okay', 'said')",8
173,"('start', 'medic')",8
174,"('right', 'back')",7
175,"('would', 'say')",7
176,"('maam', 'okay')",7
177,"('okay', 'chest')",7
178,"('aspirin', 'okay')",7
179,"('come', 'sudden')",7
180,"('loosen', 'tight')",7
181,"('thanks', 'watching')",7
182,"('center', 'chest')",7
183,"('yeah', 'im')",7
184,"('im', 'gon')",7
185,"('know', 'said')",7
186,"('years', 'ago')",7
187,"('shes', 'able')",7
188,"('ask', 'couple')",7
189,"('hes', 'chest')",7
190,"('try', 'keep')",7
191,"('next', 'week')",7
192,"('number', 'called')",7
193,"('okay', 'ask')",7
194,"('feeling', 'pain')",7
195,"('ahead', 'get')",7
196,"('heart', 'issues')",7
197,"('yeah', 'shes')",7
198,"('medics', 'already')",7
199,"('nitro', 'aspirin')",7
200,"('nauseated', 'vomiting')",7
201,"('chelsea', 'street')",7
202,"('anything', 'okay')",7
203,"('okay', 'bye')",7
204,"('nausea', 'vomiting')",7
205,"('ok', 'right')",7
206,"('difficulty', 'breathing')",7
207,"('medic', 'way')",7
208,"('hes', 'really')",6
209,"('shes', 'breathing')",6
210,"('partner', 'going')",6
211,"('en', 'route')",6
212,"('alright', 'well')",6
213,"('okay', 'sweating')",6
214,"('okay', 'medics')",6
215,"('drugs', 'viagra')",6
216,"('know', 'time')",6
217,"('theyre', 'coming')",6
218,"('yeah', 'know')",6
219,"('okay', 'hes')",6
220,"('stay', 'phone')",6
221,"('hours', 'ago')",6
222,"('allergic', 'aspirin')",6
223,"('24', 'hours')",6
224,"('okay', 'want')",6
225,"('okay', 'recently')",6
226,"('start', 'medics')",6
227,"('yes', 'ok')",6
228,"('10', 'minutes')",6
229,"('able', 'take')",6
230,"('take', 'aspirin')",6
231,"('okay', 'would')",6
232,"('get', 'give')",6
233,"('hes', 'going')",6
234,"('okay', 'ill')",6
235,"('okay', 'phone')",6
236,"('well', 'im')",6
237,"('right', 'well')",6
238,"('yeah', 'well')",6
239,"('ask', 'questions')",6
240,"('emergency', 'hi')",6
241,"('trying', 'get')",6
242,"('like', 'hes')",6
243,"('currently', 'conscious')",6
244,"('vomiting', 'sweating')",6
245,"('okay', 'anyone')",6
246,"('comfortable', 'keep')",6
247,"('yeah', 'hes')",6
248,"('gather', 'medications')",6
249,"('okay', 'thats')",6
250,"('like', 'go')",6
251,"('already', 'marked')",6
252,"('breath', 'difficulty')",6
253,"('alright', 'im')",6
254,"('parking', 'lot')",6
255,"('two', 'three')",6
256,"('pain', 'start')",6
257,"('know', 'dont')",6
258,"('way', 'okay')",6
259,"('kind', 'gradual')",6
260,"('breathing', 'hes')",6
261,"('hes', 'hard')",6
262,"('give', 'call')",6
263,"('getting', 'worse')",5
264,"('normally', 'take')",5
265,"('number', 'call')",5
266,"('shes', 'coming')",5
267,"('go', 'get')",5
268,"('want', 'go')",5
269,"('know', 'im')",5
270,"('okay', 'back')",5
271,"('okay', 'experiencing')",5
272,"('breath', 'okay')",5
273,"('didnt', 'take')",5
274,"('great', 'thank')",5
275,"('get', 'medics')",5
276,"('cough', 'fever')",5
277,"('im', 'feeling')",5
278,"('thank', 'youre')",5
279,"('20', 'minutes')",5
280,"('tell', 'chest')",5
281,"('delaware', 'crossing')",5
282,"('gets', 'worse')",5
283,"('okay', 'door')",5
284,"('right', 'yes')",5
285,"('old', 'patient')",5
286,"('stay', 'line')",5
287,"('door', 'okay')",5
288,"('ok', 'know')",5
289,"('right', 'knee')",5
290,"('another', 'one')",5
291,"('youre', 'able')",5
292,"('back', 'ok')",5
293,"('one', 'two')",5
294,"('okay', 'keep')",5
295,"('ok', 'youre')",5
296,"('shes', 'got')",5
297,"('get', 'aspirin')",5
298,"('help', 'way')",5
299,"('last', '24')",5
300,"('get', 'anything')",5
301,"('columbus', 'pike')",5
302,"('take', 'one')",5
303,"('get', 'ready')",5
304,"('bad', 'pain')",5
305,"('okay', 'get')",5
306,"('yes', 'hes')",5
307,"('yeah', 'right')",5
308,"('get', 'sweatshirt')",5
309,"('im', 'right')",5
310,"('located', 'like')",5
311,"('said', 'right')",5
312,"('breath', 'little')",5
313,"('shes', 'trouble')",5
314,"('says', 'shes')",5
315,"('okay', 'dont')",5
316,"('okay', 'weve')",5
317,"('yes', 'shes')",5
318,"('im', 'calling')",5
319,"('yes', 'sir')",5
320,"('275', 'chelsea')",5
321,"('nurse', 'yes')",5
322,"('thank', 'bye')",5
323,"('think', 'hes')",5
324,"('couldnt', 'get')",5
325,"('anyone', 'covid')",5
326,"('feeling', 'short')",5
327,"('next', 'time')",5
328,"('okay', 'anybody')",5
329,"('medic', 'started')",5
330,"('get', 'medic')",5
331,"('get', 'car')",5
332,"('urgent', 'care')",5
333,"('emergency', 'uh')",5
334,"('trouble', 'breathing')",5
335,"('okay', 'come')",5
336,"('trying', 'find')",5
337,"('right', 'chest')",5
338,"('conscious', 'breathing')",5
339,"('something', 'like')",5
340,"('moves', 'pain')",5
341,"('else', 'feel')",5
342,"('know', 'thats')",5
343,"('shes', 'chest')",5
344,"('today', 'yes')",5
345,"('anything', 'change')",5
346,"('symptoms', 'start')",5
347,"('right', 'center')",5
348,"('came', 'suddenly')",5
349,"('yeah', 'said')",5
350,"('half', 'hour')",5
351,"('cant', 'get')",5
352,"('said', 'shes')",5
353,"('eat', 'drink')",5
354,"('get', 'call')",5
355,"('partners', 'got')",5
356,"('pain', 'hes')",5
357,"('telephone', 'number')",5
358,"('ahead', 'let')",5
359,"('going', 'husband')",4
360,"('get', 'phone')",4
361,"('na', 'go')",4
362,"('havent', 'seen')",4
363,"('one', 'okay')",4
364,"('okay', 'alrighty')",4
365,"('ok', 'take')",4
366,"('take', 'two')",4
367,"('phone', 'right')",4
368,"('na', 'get')",4
369,"('ahead', 'give')",4
370,"('go', 'grab')",4
371,"('grab', 'two')",4
372,"('let', 'get')",4
373,"('know', 'shes')",4
374,"('breathing', 'yeah')",4
375,"('contact', 'drugs')",4
376,"('suffering', 'covid')",4
377,"('im', 'aware')",4
378,"('want', 'sit')",4
379,"('pain', 'yes')",4
380,"('thank', 'byebye')",4
381,"('100', 'delaware')",4
382,"('delaware', 'okay')",4
383,"('able', 'tell')",4
384,"('last', 'one')",4
385,"('dont', 'feel')",4
386,"('fever', 'shortness')",4
387,"('hour', 'ago')",4
388,"('ill', 'ill')",4
389,"('way', 'questions')",4
390,"('okay', 'like')",4
391,"('phone', 'get')",4
392,"('okay', 'see')",4
393,"('use', 'prescription')",4
394,"('think', 'ive')",4
395,"('thank', 'yeah')",4
396,"('dont', 'okay')",4
397,"('aspirin', 'yeah')",4
398,"('back', 'immediately')",4
399,"('got', 'ive')",4
400,"('conscious', 'yes')",4
401,"('go', 'away')",4
402,"('change', 'move')",4
403,"('going', 'pass')",4
404,"('way', 'try')",4
405,"('145', 'north')",4
406,"('side', 'house')",4
407,"('problems', 'yes')",4
408,"('five', 'minutes')",4
409,"('else', 'okay')",4
410,"('take', 'another')",4
411,"('hes', 'trouble')",4
412,"('hes', 'good')",4
413,"('keep', 'chest')",4
414,"('know', 'kind')",4
415,"('boop', 'boop')",4
416,"('think', 'im')",4
417,"('attack', 'im')",4
418,"('talking', 'background')",4
419,"('well', 'medic')",4
420,"('going', 'im')",4
421,"('cialis', 'back')",4
422,"('time', 'okay')",4
423,"('well', 'medics')",4
424,"('okay', 'byebye')",4
425,"('1710', 'columbus')",4
426,"('much', 'thank')",4
427,"('moves', 'around')",4
428,"('want', 'try')",4
429,"('go', 'back')",4
430,"('partner', 'starting')",4
431,"('look', 'like')",4
432,"('yes', 'old')",4
433,"('pain', 'know')",4
434,"('room', 'okay')",4
435,"('hours', 'okay')",4
436,"('loose', 'tight')",4
437,"('hes', 'sitting')",4
438,"('changes', 'worse')",4
439,"('hes', 'taking')",4
440,"('go', 'hospital')",4
441,"('name', 'maam')",4
442,"('hard', 'history')",4
443,"('sir', 'okay')",4
444,"('396', 'north')",4
445,"('breathing', 'breathing')",4
446,"('gradual', 'didnt')",4
447,"('like', 'okay')",4
448,"('year', 'ago')",4
449,"('drugs', 'alcohol')",4
450,"('get', 'worse')",4
451,"('im', 'heart')",4
452,"('calm', 'loose')",4
453,"('okay', 'feeling')",4
454,"('questions', 'currently')",4
455,"('started', 'questions')",4
456,"('get', 'disconnected')",4
457,"('yet', 'okay')",4
458,"('like', 'right')",4
459,"('street', 'apartment')",4
460,"('car', 'okay')",4
461,"('breath', 'yes')",4
462,"('said', 'pain')",4
463,"('right', 'ill')",4
464,"('ahead', 'disconnect')",4
465,"('yes', 'thank')",4
466,"('would', 'like')",4
467,"('alright', 'thank')",4
468,"('okay', 'covid')",4
469,"('really', 'fast')",4
470,"('hes', 'like')",4
471,"('okay', 'started')",4
472,"('love', 'nah')",4
473,"('north', 'franklin')",4
474,"('days', 'ago')",4
475,"('located', 'chest')",4
476,"('make', 'sure')",4
477,"('gradually', 'come')",4
478,"('time', 'pain')",4
479,"('emergency', '100')",4
480,"('oh', 'ok')",4
481,"('100', 'willowbrook')",4
482,"('willowbrook', 'way')",4
483,"('door', 'l')",4
484,"('keep', 'going')",4
485,"('yep', 'okay')",4
486,"('need', 'go')",4
487,"('lewis', 'center')",4
488,"('sorry', 'im')",4
489,"('case', 'get')",4
490,"('three', 'four')",4
491,"('ask', 'hes')",4
492,"('old', 'husband')",4
493,"('center', 'okay')",4
494,"('yeah', 'thats')",4
495,"('breathe', 'okay')",4
496,"('whats', 'telephone')",4
497,"('okay', 'go')",4
498,"('really', 'bad')",4
499,"('right', 'hes')",4
500,"('sorry', 'whats')",4
501,"('middle', 'chest')",4
502,"('long', 'ago')",4
503,"('im', 'talking')",4
504,"('like', 'heart')",4
505,"('know', 'many')",4
506,"('yes', 'one')",4
507,"('okay', 'youre')",4
508,"('right', 'partners')",4
509,"('know', 'get')",3
510,"('real', 'real')",3
511,"('go', 'okay')",3
512,"('background', 'yes')",3
513,"('unlock', 'door')",3
514,"('well', 'ill')",3
515,"('creek', 'drive')",3
516,"('drive', 'ok')",3
517,"('youre', 'sweating')",3
518,"('hurts', 'okay')",3
519,"('rock', 'creek')",3
520,"('73', 'rock')",3
521,"('coffee', 'shortness')",3
522,"('aspirin', 'dont')",3
523,"('getting', 'medics')",3
524,"('sit', 'okay')",3
525,"('moving', 'breathing')",3
526,"('second', 'partners')",3
527,"('im', 'chest')",3
528,"('okay', 'theyre')",3
529,"('yeah', 'think')",3
530,"('talk', 'yes')",3
531,"('pains', 'im')",3
532,"('pain', 'come')",3
533,"('problems', 'history')",3
534,"('ok', 'ok')",3
535,"('thank', 'oh')",3
536,"('try', 'cpr')",3
537,"('took', 'nitro')",3
538,"('time', 'start')",3
539,"('whats', 'happening')",3
540,"('think', 'go')",3
541,"('transported', 'er')",3
542,"('pike', 'delaware')",3
543,"('yes', 'right')",3
544,"('breathing', 'yes')",3
545,"('medics', 'route')",3
546,"('emergency', '1710')",3
547,"('location', 'emergency')",3
548,"('yeah', 'ok')",3
549,"('taken', 'two')",3
550,"('like', 'maybe')",3
551,"('pittsburgh', 'drive')",3
552,"('hes', 'probably')",3
553,"('black', 'stools')",3
554,"('drugs', 'like')",3
555,"('doesnt', 'seem')",3
556,"('fine', 'okay')",3
557,"('stay', 'calm')",3
558,"('like', 'yeah')",3
559,"('yeah', 'need')",3
560,"('alright', 'whats')",3
561,"('okay', 'able')",3
562,"('got', 'ta')",3
563,"('second', 'okay')",3
564,"('thank', 'right')",3
565,"('gradual', 'gradual')",3
566,"('youre', 'aware')",3
567,"('high', 'blood')",3
568,"('hes', 'got')",3
569,"('sorry', 'go')",3
570,"('hi', 'im')",3
571,"('stools', 'last')",3
572,"('want', 'give')",3
573,"('760', 'pittsburgh')",3
574,"('okay', 'start')",3
575,"('guard', 'shack')",3
576,"('number', 'uh')",3
577,"('yes', 'whats')",3
578,"('okay', 'perfect')",3
579,"('couple', 'minutes')",3
580,"('hes', 'right')",3
581,"('gradual', 'okay')",3
582,"('slow', 'heartbeat')",3
583,"('like', 'center')",3
584,"('okay', 'let')",3
585,"('far', 'away')",3
586,"('hospital', 'okay')",3
587,"('guys', 'call')",3
588,"('chest', 'like')",3
589,"('colonoscopy', 'done')",3
590,"('got', 'colonoscopy')",3
591,"('yep', 'bye')",3
592,"('put', 'dog')",3
593,"('came', 'gradual')",3
594,"('im', 'still')",3
595,"('didnt', 'look')",3
596,"('around', 'anything')",3
597,"('okay', 'use')",3
598,"('ok', 'yeah')",3
599,"('partner', 'already')",3
600,"('calm', 'loosen')",3
601,"('recent', 'contact')",3
602,"('profusely', 'sweating')",3
603,"('move', 'breathe')",3
604,"('recently', 'come')",3
605,"('let', 'ask')",3
606,"('um', 'dont')",3
607,"('got', 'chest')",3
608,"('history', 'problems')",3
609,"('tongue', 'let')",3
610,"('im', 'pretty')",3
611,"('okay', 'christina')",3
612,"('hes', 'breathing')",3
613,"('doesnt', 'feel')",3
614,"('tiffany', 'tiffany')",3
615,"('well', 'sure')",3
616,"('north', 'walnut')",3
617,"('like', 'real')",3
618,"('okay', 'ever')",3
619,"('right', 'youre')",3
620,"('door', 'b')",3
621,"('canyon', 'road')",3
622,"('pain', 'different')",3
623,"('like', 'going')",3
624,"('walking', 'around')",3
625,"('remain', 'seated')",3
626,"('way', 'sit')",3
627,"('put', 'back')",3
628,"('history', 'history')",3
629,"('right', 'tell')",3
630,"('long', 'trail')",3
631,"('372', 'long')",3
632,"('okay', 'hang')",3
633,"('weve', 'vaccinated')",3
634,"('uh', 'weve')",3
635,"('blue', 'light')",3
636,"('attack', 'heart')",3
637,"('door', 'open')",3
638,"('okay', 'many')",3
639,"('youve', 'done')",3
640,"('um', 'okay')",3
641,"('yeah', 'nauseated')",3
642,"('rib', 'cage')",3
643,"('go', 'talk')",3
644,"('coming', 'okay')",3
645,"('know', 'yeah')",3
646,"('dispatch', 'medics')",3
647,"('ok', 'sweating')",3
648,"('im', 'afraid')",3
649,"('call', '911')",3
650,"('pumping', 'chest')",3
651,"('didnt', 'call')",3
652,"('smile', 'didnt')",3
653,"('real', 'smile')",3
654,"('afraid', 'real')",3
655,"('move', 'afraid')",3
656,"('couldnt', 'move')",3
657,"('shock', 'couldnt')",3
658,"('real', 'shock')",3
659,"('got', 'really')",3
660,"('one', 'time')",3
661,"('drive', 'powell')",3
662,"('right', 'old')",3
663,"('keep', 'pumping')",3
664,"('chest', 'compression')",3
665,"('per', 'minute')",3
666,"('going', 'try')",3
667,"('like', 'im')",3
668,"('find', 'pole')",3
669,"('okay', 'find')",3
670,"('spotting', 'okay')",3
671,"('shes', 'floor')",3
672,"('westerville', 'ohio')",3
673,"('shortly', 'ill')",3
674,"('said', 'okay')",3
675,"('old', 'shes')",3
676,"('go', 'bathroom')",3
677,"('felt', 'like')",3
678,"('different', 'normal')",3
679,"('correct', 'correct')",3
680,"('im', 'back')",3
681,"('right', 'heart')",3
682,"('yes', 'said')",3
683,"('let', 'anything')",3
684,"('weeks', 'ago')",3
685,"('started', 'okay')",3
686,"('didnt', 'let')",3
687,"('onset', 'kind')",3
688,"('sudden', 'onset')",3
689,"('right', 'middle')",3
690,"('two', 'weeks')",3
691,"('anything', 'else')",3
692,"('right', 'oh')",3
693,"('okay', 'anything')",3
694,"('got', 'help')",3
695,"('disconnected', '614')",3
696,"('franklin', 'street')",3
697,"('im', 'saying')",3
698,"('oh', 'im')",3
699,"('partner', 'getting')",3
700,"('anything', 'eat')",3
701,"('comfortable', 'position')",3
702,"('anything', 'changed')",3
703,"('breath', 'right')",3
704,"('okay', 'kind')",3
705,"('right', 'partner')",3
706,"('wants', 'get')",3
707,"('doesnt', 'know')",3
708,"('fire', 'left')",3
709,"('located', 'located')",3
710,"('couple', 'days')",3
711,"('mean', 'shes')",3
712,"('uh', 'well')",3
713,"('covid', 'okay')",3
714,"('thats', 'phone')",3
715,"('hes', 'sweating')",3
716,"('including', 'viagra')",3
717,"('drugs', 'including')",3
718,"('take', 'prescription')",3
719,"('one', 'take')",3
720,"('took', 'one')",3
721,"('yes', 'im')",3
722,"('aspirin', 'today')",3
723,"('taken', 'aspirin')",3
724,"('try', 'rest')",3
725,"('pain', 'anything')",3
726,"('ask', 'pain')",3
727,"('said', 'take')",3
728,"('paramedics', 'anything')",3
729,"('door', 'right')",3
730,"('symptoms', 'okay')",3
731,"('cold', 'okay')",3
732,"('nah', 'love')",3
733,"('yeah', 'like')",3
734,"('conscious', 'yeah')",3
735,"('right', 'like')",3
736,"('happened', 'okay')",3
737,"('us', 'back')",3
738,"('oh', 'goodness')",3
739,"('conscious', 'awake')",3
740,"('complaining', 'chest')",3
741,"('one', 'one')",3
742,"('well', 'shes')",3
743,"('thank', 'said')",3
744,"('oh', 'yeah')",3
745,"('rising', 'falling')",3
746,"('call', 'us')",3
747,"('didnt', 'know')",3
748,"('see', 'ya')",3
749,"('shes', 'going')",3
750,"('street', 'okay')",3
751,"('yeah', 'could')",3
752,"('emergency', 'im')",3
753,"('said', 'theyre')",3
754,"('paint', 'anywhere')",3
755,"('pain', 'like')",3
756,"('okay', 'uh')",3
757,"('kind', 'like')",3
758,"('okay', 'shes')",3
759,"('know', 'old')",3
760,"('shes', 'like')",3
761,"('going', 'like')",3
762,"('medics', 'dispatched')",3
763,"('shes', 'also')",3
764,"('maam', 'name')",3
765,"('hes', 'moving')",3
766,"('okay', 'room')",3
767,"('im', 'okay')",3
768,"('pain', 'well')",3
769,"('taking', 'medication')",3
770,"('apartment', 'number')",3
771,"('need', 'ambulance')",3
772,"('okay', 'need')",3
773,"('shortly', 'okay')",3
774,"('rate', 'rapid')",3
775,"('pain', 'started')",3
776,"('get', 'information')",3
777,"('attack', 'okay')",3
778,"('pain', 'pain')",3
779,"('located', 'center')",3
780,"('clothing', 'gather')",3
781,"('im', 'good')",3
782,"('yeah', 'theyre')",3
783,"('couple', 'times')",3
784,"('dont', 'take')",3
785,"('okay', 'short')",3
786,"('gradually', 'gradually')",3
787,"('shes', 'taking')",3
788,"('stomach', 'pain')",3
789,"('first', 'start')",3
790,"('chest', 'right')",3
791,"('aspirin', 'take')",3
792,"('anybody', 'house')",3
793,"('going', 'dispatch')",3
794,"('chest', 'rising')",3
795,"('hes', 'covid')",3
796,"('see', 'chest')",3
797,"('breathing', 'okay')",3
798,"('name', 'im')",3
799,"('old', 'mom')",3
800,"('okay', 'sure')",3
801,"('dispatch', 'medic')",3
802,"('breathing', 'shes')",3
803,"('baby', 'aspirin')",3
804,"('well', 'go')",3
805,"('want', 'loosen')",3
806,"('thats', 'okay')",3
807,"('get', 'let')",3
808,"('drugs', 'okay')",3
809,"('use', 'drugs')",3
810,"('illegal', 'drugs')",3
811,"('okay', 'chance')",3
812,"('breathing', 'im')",3
813,"('bad', 'chest')",3
814,"('ahead', 'start')",3
815,"('cars', 'parked')",3
816,"('good', 'phone')",3
817,"('questions', 'ask')",3
818,"('silent', 'approach')",3
819,"('get', 'get')",3
820,"('get', 'theyre')",3
821,"('help', 'get')",3
822,"('need', 'know')",3
823,"('going', 'say')",3
824,"('room', 'number')",3
825,"('door', 'medics')",3
826,"('actually', 'okay')",3
827,"('going', 'okay')",3
828,"('changes', 'give')",3
829,"('alright', 'alright')",3
830,"('looks', 'like')",3
831,"('first', 'name')",3
832,"('old', 'oh')",3
833,"('went', 'check')",3
834,"('well', 'yeah')",3
835,"('would', 'get')",3
836,"('medics', 'need')",3
837,"('pressure', 'chest')",3
838,"('feeling', 'right')",3
839,"('side', 'building')",3
840,"('really', 'dont')",3
841,"('heart', 'pain')",3
842,"('shes', 'complaining')",3
843,"('welcome', 'bye')",3
844,"('much', 'youre')",3
845,"('okay', 'yes')",3
846,"('give', 'one')",3
847,"('chest', 'tightness')",3
848,"('someone', 'meet')",3
849,"('crossing', 'west')",3
850,"('ok', 'thank')",3
851,"('changes', 'gets')",3
852,"('okay', 'conscious')",3
853,"('pain', 'said')",3
854,"('called', 'case')",3
855,"('answer', 'best')",2
856,"('questions', 'answer')",2
857,"('compression', 'okay')",2
858,"('try', 'ask')",2
859,"('done', 'dont')",2
860,"('many', 'youve')",2
861,"('sure', 'ok')",2
862,"('compressions', 'know')",2
863,"('many', 'compressions')",2
864,"('thank', 'im')",2
865,"('give', 'two')",2
866,"('best', 'said')",2
867,"('ok', 'need')",2
868,"('four', 'one')",2
869,"('two', 'breaths')",2
870,"('feels', 'tight')",2
871,"('said', '90')",2
872,"('hour', 'front')",2
873,"('drugs', 'back')",2
874,"('calm', 'tight')",2
875,"('drugs', 'dont')",2
876,"('thank', 'ok')",2
877,"('said', 'didnt')",2
878,"('unlocked', 'okay')",2
879,"('marked', 'hour')",2
880,"('90', 'years')",2
881,"('anybody', 'covid')",2
882,"('old', 'wife')",2
883,"('left', 'right')",2
884,"('yes', 'lets')",2
885,"('list', 'heart')",2
886,"('know', 'history')",2
887,"('dog', 'away')",2
888,"('breathe', 'yeah')",2
889,"('able', 'put')",2
890,"('back', 'shortly')",2
891,"('okay', 'describe')",2
892,"('heart', 'failure')",2
893,"('congested', 'heart')",2
894,"('12', 'years')",2
895,"('anybody', 'suffering')",2
896,"('road', 'delaware')",2
897,"('keep', 'eye')",2
898,"('located', 'said')",2
899,"('well', 'help')",2
900,"('medics', 'would')",2
901,"('belly', 'button')",2
902,"('take', 'dont')",2
903,"('said', 'felt')",2
904,"('injury', 'correct')",2
905,"('describe', 'chest')",2
906,"('shes', 'short')",2
907,"('cpr', 'talk')",2
908,"('seem', 'like')",2
909,"('start', 'cpr')",2
910,"('want', 'start')",2
911,"('cpr', 'want')",2
912,"('okay', 'cpr')",2
913,"('still', 'one')",2
914,"('pole', 'spotting')",2
915,"('breathing', 'cant')",2
916,"('okay', 'nods')",2
917,"('thank', 'theyre')",2
918,"('marked', 'en')",2
919,"('medic', 'marked')",2
920,"('today', 'yeah')",2
921,"('aspirin', 'takes')",2
922,"('vomiting', 'yes')",2
923,"('medication', 'shes')",2
924,"('drugs', 'illicit')",2
925,"('tell', 'hes')",2
926,"('get', 'go')",2
927,"('shoulders', 'chest')",2
928,"('across', 'shoulders')",2
929,"('uh', 'chest')",2
930,"('central', 'uh')",2
931,"('located', 'central')",2
932,"('chest', 'arms')",2
933,"('got', 'medic')",2
934,"('well', 'right')",2
935,"('thing', 'right')",2
936,"('back', 'thing')",2
937,"('ask', 'question')",2
938,"('question', 'ask')",2
939,"('youre', 'vomiting')",2
940,"('youre', 'short')",2
941,"('profusely', 'thank')",2
942,"('possible', 'use')",2
943,"('like', 'cant')",2
944,"('pass', 'okay')",2
945,"('medications', 'normally')",2
946,"('earlier', 'morning')",2
947,"('started', 'gather')",2
948,"('partner', 'got')",2
949,"('seat', 'partner')",2
950,"('okay', 'seat')",2
951,"('ago', 'ok')",2
952,"('use', 'recent')",2
